team_name,team_short_name,match_played,win,draw,loss,goal,shot,cross,pass,touch,cleansheet,save,tackle,foul,redcard,yellowcard
FC Goa,FCG,20,13,3,4,51,290,238,9620,12576,5.0,42,754,263,4.0,41
ATK FC,ATK,21,12,4,5,39,246,209,6831,10376,9.0,55,693,294,,43
Bengaluru FC,BFC,20,9,6,5,24,241,238,7231,10312,11.0,51,569,250,1.0,39
Chennaiyin FC,CFC,21,9,5,7,39,263,253,7553,10945,4.0,47,596,273,4.0,43
Mumbai City FC,MCFC,18,7,5,6,25,222,272,6077,9108,4.0,42,626,304,3.0,57
Odisha FC,OFC,18,7,4,7,28,211,261,7193,9897,4.0,51,503,289,2.0,46
Jamshedpur FC,JFC,18,4,6,8,22,205,259,7220,10123,2.0,54,621,224,3.0,37
Kerala Blasters FC,KBFC,18,4,7,7,29,212,256,7322,9808,3.0,30,544,253,1.0,43
NorthEast United FC,NEUFC,18,2,8,8,16,197,217,6545,9286,3.0,72,562,231,2.0,46
Hyderabad FC,HFC,18,2,4,12,21,234,180,6430,9346,,63,580,224,2.0,44
