team_name,team_short_name,match_played,win,draw,loss,goal,shot,cross,pass,touch,cleansheet,save,tackle,foul,redcard,yellowcard
Bengaluru FC,BFC,21,12,4,5,34,252,203,8912,11762,7,62,406,280,3.0,40
FC Goa,FCG,21,11,4,6,41,325,233,11156,13992,8,59,599,227,3.0,42
Mumbai City FC,MCFC,20,10,3,7,27,247,204,6560,9845,8,77,618,290,1.0,45
NorthEast United FC,NEUFC,20,8,8,4,24,229,242,9055,11978,8,45,495,256,3.0,30
FC Pune City,FCPC,18,6,4,8,24,208,192,5933,8570,2,73,387,227,3.0,50
ATK,ATK,18,6,6,6,18,182,161,6199,8814,4,47,452,221,1.0,34
Jamshedpur FC,JFC,18,6,9,3,29,215,239,8573,11315,5,38,484,222,,25
Delhi Dynamos FC,DDFC,18,4,6,8,23,223,239,7721,10261,3,52,387,233,,29
Kerala Blasters FC,KBFC,18,2,9,7,18,256,209,7028,9687,4,42,445,198,2.0,37
Chennaiyin FC,CFC,18,2,3,13,16,215,259,7854,10399,3,36,457,167,,24
